向第三个中输入斯黛拉 {"command":"input_text","vindex":"三","text":"斯黛拉","mode":0}
帮我查看第四十个 {"command":"click","vindex":"四十","mode":0}
添加所以我专门买了这个给你当礼物到第四十四个 {"command":"input_text","vindex":"四十四","text":"所以我专门买了这个给你当礼物","mode":0}
向第四十七个中输入娜娜嘛 {"command":"input_text","vindex":"四十七","text":"娜娜嘛","mode":0}
帮我向第九个尾部添加唉什么哎 {"command":"input_text","vindex":"九","text":"唉什么哎","mode":0}
把第二十二个向右滑 {"command":"swipe","vindex":"二十二","direction":"右"}
给我第四十七个下滑 {"command":"swipe","vindex":"四十七","direction":"下"}
请向第十五个尾部添加世界前500强 {"command":"input_text","vindex":"十五","text":"世界前500强","mode":0}
输入不这样怎么能又快又好到第五十六个 {"command":"input_text","vindex":"五十六","text":"不这样怎么能又快又好","mode":0}
给我向第二十二个中输入可怜的胖子 {"command":"input_text","vindex":"二十二","text":"可怜的胖子","mode":0}
添加我是把你当朋友到第五十七个 {"command":"input_text","vindex":"五十七","text":"我是把你当朋友","mode":0}
帮我上滑第三个 {"command":"swipe","vindex":"三","direction":"上"}
帮我查看第九个 {"command":"click","vindex":"九","mode":0}
向上滑动第三十四个 {"command":"swipe","vindex":"三十四","direction":"上"}
向第十八个尾部输入朵朵会更喜欢你的 {"command":"input_text","vindex":"十八","text":"朵朵会更喜欢你的","mode":0}
给我向第五十六个尾部添加为那种人生气多不值当啊 {"command":"input_text","vindex":"五十六","text":"为那种人生气多不值当啊","mode":0}
进入第九个 {"command":"click","vindex":"九","mode":0}
请输入还有就是每次看你吃饭到第十二个 {"command":"input_text","vindex":"十二","text":"还有就是每次看你吃饭","mode":0}
向第四十五个尾部添加对腰还好呢 {"command":"input_text","vindex":"四十五","text":"对腰还好呢","mode":0}
给我看下第五十二个 {"command":"click","vindex":"五十二","mode":0}
帮我第八个上滑 {"command":"swipe","vindex":"八","direction":"上"}
请把第十五个向下滑 {"command":"swipe","vindex":"十五","direction":"下"}
向第十九个尾部添加我天生就是乐于助人 {"command":"input_text","vindex":"十九","text":"我天生就是乐于助人","mode":0}
查看第五十三个 {"command":"click","vindex":"五十三","mode":0}
查看第三十个 {"command":"click","vindex":"三十","mode":0}
向第十九个中输入莹莹怎么了 {"command":"input_text","vindex":"十九","text":"莹莹怎么了","mode":0}
输入行了到第十四个 {"command":"input_text","vindex":"十四","text":"行了","mode":0}
点击第三十八个 {"command":"click","vindex":"三十八","mode":0}
给我进入第十四个 {"command":"click","vindex":"十四","mode":0}
请向第十四个尾部添加四十万一分不能少 {"command":"input_text","vindex":"十四","text":"四十万一分不能少","mode":0}
向第五个中输入也是 {"command":"input_text","vindex":"五","text":"也是","mode":0}
请看下第三十个 {"command":"click","vindex":"三十","mode":0}
第四十个点击 {"command":"click","vindex":"四十","mode":0}
第三十六个左滑 {"command":"swipe","vindex":"三十六","direction":"左"}
把第五十个向左滑 {"command":"swipe","vindex":"五十","direction":"左"}
帮我进入第三十七个 {"command":"click","vindex":"三十七","mode":0}
请输入他有一次带客户去喝酒碰上到第二十个 {"command":"input_text","vindex":"二十","text":"他有一次带客户去喝酒碰上","mode":0}
帮我查看第五十个 {"command":"click","vindex":"五十","mode":0}
给我向第二十七个尾部输入你不觉得咱们俩在马路上生气 {"command":"input_text","vindex":"二十七","text":"你不觉得咱们俩在马路上生气","mode":0}
帮我向第十五个中输入爷爷给你买了一对新枕头 {"command":"input_text","vindex":"十五","text":"爷爷给你买了一对新枕头","mode":0}
请查看第二十八个 {"command":"click","vindex":"二十八","mode":0}
给我把第二十二个向左滑 {"command":"swipe","vindex":"二十二","direction":"左"}
向第八个中输入得了 {"command":"input_text","vindex":"八","text":"得了","mode":0}
帮我看下第五十七个 {"command":"click","vindex":"五十七","mode":0}
给我查看第四十五个 {"command":"click","vindex":"四十五","mode":0}
输入闲的到第四十七个 {"command":"input_text","vindex":"四十七","text":"闲的","mode":0}
向右滑动第五个 {"command":"swipe","vindex":"五","direction":"右"}
帮我第九个左滑 {"command":"swipe","vindex":"九","direction":"左"}
请向第二十三个尾部添加你满北京的去帮我找工作 {"command":"input_text","vindex":"二十三","text":"你满北京的去帮我找工作","mode":0}
给我向第二十八个尾部输入你有没有下次我是管不了 {"command":"input_text","vindex":"二十八","text":"你有没有下次我是管不了","mode":0}
请向第三个尾部输入你笨死了就是那个季你这个季 {"command":"input_text","vindex":"三","text":"你笨死了就是那个季你这个季","mode":0}
给我打开第三十二个 {"command":"click","vindex":"三十二","mode":0}
右滑第五十二个 {"command":"swipe","vindex":"五十二","direction":"右"}
帮我向第三十八个尾部添加那是高二 {"command":"input_text","vindex":"三十八","text":"那是高二","mode":0}
给我看下第四十二个 {"command":"click","vindex":"四十二","mode":0}
给我右滑第十四个 {"command":"swipe","vindex":"十四","direction":"右"}
给我向第二个尾部添加樊小妹 {"command":"input_text","vindex":"二","text":"樊小妹","mode":0}
输入我哪会做的到第三十二个 {"command":"input_text","vindex":"三十二","text":"我哪会做的","mode":0}
请向第四个中输入而不是在维护你当事人的权利 {"command":"input_text","vindex":"四","text":"而不是在维护你当事人的权利","mode":0}
向第四个尾部输入我成倍给你追加注册资金 {"command":"input_text","vindex":"四","text":"我成倍给你追加注册资金","mode":0}
输入我跟你说个真事吧到第四十八个 {"command":"input_text","vindex":"四十八","text":"我跟你说个真事吧","mode":0}
打开第二十个 {"command":"click","vindex":"二十","mode":0}
请第四十四个左滑 {"command":"swipe","vindex":"四十四","direction":"左"}
向第四十二个尾部添加这才结婚几天就跑到那种地方去了 {"command":"input_text","vindex":"四十二","text":"这才结婚几天就跑到那种地方去了","mode":0}
请向第四十六个中输入你有病吧什么陈芝麻烂谷子的事了 {"command":"input_text","vindex":"四十六","text":"你有病吧什么陈芝麻烂谷子的事了","mode":0}
帮我看下第二十四个 {"command":"click","vindex":"二十四","mode":0}
添加我能来谈我就能搞的定到第三十二个 {"command":"input_text","vindex":"三十二","text":"我能来谈我就能搞的定","mode":0}
向下移动第五十三个 {"command":"swipe","vindex":"五十三","direction":"下"}
请添加你不要脸我还要脸到第五十九个 {"command":"input_text","vindex":"五十九","text":"你不要脸我还要脸","mode":0}
查看第五十三个 {"command":"click","vindex":"五十三","mode":0}
输入我爱上了一个不该爱的人到第四十四个 {"command":"input_text","vindex":"四十四","text":"我爱上了一个不该爱的人","mode":0}
输入可没让你们听这个到第三十四个 {"command":"input_text","vindex":"三十四","text":"可没让你们听这个","mode":0}
添加谢谢到第六个 {"command":"input_text","vindex":"六","text":"谢谢","mode":0}
向第三十三个尾部添加我哪儿都不去 {"command":"input_text","vindex":"三十三","text":"我哪儿都不去","mode":0}
第四个点击 {"command":"click","vindex":"四","mode":0}
输入到时候上市以后那股份对吧到第二十五个 {"command":"input_text","vindex":"二十五","text":"到时候上市以后那股份对吧","mode":0}
向第二个中输入可是我又不认识又有特点又有故事的人啊 {"command":"input_text","vindex":"二","text":"可是我又不认识又有特点又有故事的人啊","mode":0}
请向第四十九个尾部添加我可以很清楚地掂量什么是我可以负担得起的 {"command":"input_text","vindex":"四十九","text":"我可以很清楚地掂量什么是我可以负担得起的","mode":0}
给我第二十二个往左 {"command":"swipe","vindex":"二十二","direction":"左"}
给我向第六个尾部输入难怪你那天演讲那么出色 {"command":"input_text","vindex":"六","text":"难怪你那天演讲那么出色","mode":0}
请添加俗话说知己知彼到第五十三个 {"command":"input_text","vindex":"五十三","text":"俗话说知己知彼","mode":0}
向右滑动第五十九个 {"command":"swipe","vindex":"五十九","direction":"右"}
帮我输入这就是你想要的生活到第三十四个 {"command":"input_text","vindex":"三十四","text":"这就是你想要的生活","mode":0}
向第三十一个中输入我不会自我折磨的 {"command":"input_text","vindex":"三十一","text":"我不会自我折磨的","mode":0}
请向第三十六个中输入我不在乎女孩子 {"command":"input_text","vindex":"三十六","text":"我不在乎女孩子","mode":0}
向第三十一个中输入先去忙吧 {"command":"input_text","vindex":"三十一","text":"先去忙吧","mode":0}
请看下第十三个 {"command":"click","vindex":"十三","mode":0}
给我向右移动第二个 {"command":"swipe","vindex":"二","direction":"右"}
给我向右滑动第三十四个 {"command":"swipe","vindex":"三十四","direction":"右"}
第二十六个往右 {"command":"swipe","vindex":"二十六","direction":"右"}
向第六十个尾部输入您贵姓啊 {"command":"input_text","vindex":"六十","text":"您贵姓啊","mode":0}
帮我右滑第四十四个 {"command":"swipe","vindex":"四十四","direction":"右"}
看下第四十四个 {"command":"click","vindex":"四十四","mode":0}
向第八个中输入好吧 {"command":"input_text","vindex":"八","text":"好吧","mode":0}
帮我向左滑动第三十三个 {"command":"swipe","vindex":"三十三","direction":"左"}
给我第五十八个点击 {"command":"click","vindex":"五十八","mode":0}
查看第二十三个 {"command":"click","vindex":"二十三","mode":0}
打开第四十个 {"command":"click","vindex":"四十","mode":0}
向第四十一个尾部添加投诉我什么 {"command":"input_text","vindex":"四十一","text":"投诉我什么","mode":0}
第十五个点击 {"command":"click","vindex":"十五","mode":0}
查看第十七个 {"command":"click","vindex":"十七","mode":0}
给我向第三十四个中输入谢谢你 {"command":"input_text","vindex":"三十四","text":"谢谢你","mode":0}
请向下滑动第四十个 {"command":"swipe","vindex":"四十","direction":"下"}
帮我输入两个人如果可以缓冲一下的话到第五十二个 {"command":"input_text","vindex":"五十二","text":"两个人如果可以缓冲一下的话","mode":0}
请添加它有固定的收益到第十八个 {"command":"input_text","vindex":"十八","text":"它有固定的收益","mode":0}
帮我输入我就可以和爸爸一拯救世界了拯救世界拯救世到第二十五个 {"command":"input_text","vindex":"二十五","text":"我就可以和爸爸一拯救世界了拯救世界拯救世","mode":0}
看下第三十一个 {"command":"click","vindex":"三十一","mode":0}
第十三个上滑 {"command":"swipe","vindex":"十三","direction":"上"}
给我向左滑动第二十八个 {"command":"swipe","vindex":"二十八","direction":"左"}
输入我今天画的是我们一家人到第四十五个 {"command":"input_text","vindex":"四十五","text":"我今天画的是我们一家人","mode":0}
给我向第五十三个中输入我得一个一个再把我客户找回来 {"command":"input_text","vindex":"五十三","text":"我得一个一个再把我客户找回来","mode":0}
向右移动第五十一个 {"command":"swipe","vindex":"五十一","direction":"右"}
把第五十三个向上滑 {"command":"swipe","vindex":"五十三","direction":"上"}
输入你是我的助理到第八个 {"command":"input_text","vindex":"八","text":"你是我的助理","mode":0}
帮我第四十五个点击 {"command":"click","vindex":"四十五","mode":0}
帮我向右滑动第五十三个 {"command":"swipe","vindex":"五十三","direction":"右"}
给我点击第五十九个 {"command":"click","vindex":"五十九","mode":0}
帮我向第二十八个尾部添加你真够愚蠢的 {"command":"input_text","vindex":"二十八","text":"你真够愚蠢的","mode":0}
帮我添加茶凉了我再给你换一杯到第四十五个 {"command":"input_text","vindex":"四十五","text":"茶凉了我再给你换一杯","mode":0}
向第七个尾部输入我当然知道没用了 {"command":"input_text","vindex":"七","text":"我当然知道没用了","mode":0}
给我添加你说你是你妈亲生的能有多大仇啊到第三个 {"command":"input_text","vindex":"三","text":"你说你是你妈亲生的能有多大仇啊","mode":0}
帮我输入你有事求我到第四十四个 {"command":"input_text","vindex":"四十四","text":"你有事求我","mode":0}
给我输入对到第七个 {"command":"input_text","vindex":"七","text":"对","mode":0}
请左滑第五十一个 {"command":"swipe","vindex":"五十一","direction":"左"}
向下滑动第四十九个 {"command":"swipe","vindex":"四十九","direction":"下"}
给我把第四十个向上滑 {"command":"swipe","vindex":"四十","direction":"上"}
进入第二十二个 {"command":"click","vindex":"二十二","mode":0}
给我向第五十五个尾部输入这不就结了吗 {"command":"input_text","vindex":"五十五","text":"这不就结了吗","mode":0}
请向第五十三个尾部输入为什么 {"command":"input_text","vindex":"五十三","text":"为什么","mode":0}
请打开第二个 {"command":"click","vindex":"二","mode":0}
给我第十个点击 {"command":"click","vindex":"十","mode":0}
第三个点击 {"command":"click","vindex":"三","mode":0}
帮我向第二个尾部输入现在妈妈反悔了 {"command":"input_text","vindex":"二","text":"现在妈妈反悔了","mode":0}
请第二十四个左滑 {"command":"swipe","vindex":"二十四","direction":"左"}
帮我把第二十二个向上滑 {"command":"swipe","vindex":"二十二","direction":"上"}
帮我下滑第十一个 {"command":"swipe","vindex":"十一","direction":"下"}
向第三个尾部添加可能快要不行了 {"command":"input_text","vindex":"三","text":"可能快要不行了","mode":0}
向第五个尾部添加她还嫁谁去 {"command":"input_text","vindex":"五","text":"她还嫁谁去","mode":0}
帮我向上滑动第四十四个 {"command":"swipe","vindex":"四十四","direction":"上"}
帮我查看第十五个 {"command":"click","vindex":"十五","mode":0}
请向第二十二个尾部输入他可是状元 {"command":"input_text","vindex":"二十二","text":"他可是状元","mode":0}
帮我向下滑动第四十二个 {"command":"swipe","vindex":"四十二","direction":"下"}
帮我进入第六个 {"command":"click","vindex":"六","mode":0}
帮我向第五十六个尾部输入苦肉计 {"command":"input_text","vindex":"五十六","text":"苦肉计","mode":0}
给我进入第五十五个 {"command":"click","vindex":"五十五","mode":0}
第三十个点击 {"command":"click","vindex":"三十","mode":0}
输入你看我这个大哥还有脸面吗到第四个 {"command":"input_text","vindex":"四","text":"你看我这个大哥还有脸面吗","mode":0}
给我进入第四十三个 {"command":"click","vindex":"四十三","mode":0}
添加太讨厌了到第五十个 {"command":"input_text","vindex":"五十","text":"太讨厌了","mode":0}
向第十四个尾部添加你是心虚吧 {"command":"input_text","vindex":"十四","text":"你是心虚吧","mode":0}
向第六个尾部输入真的是喝多了 {"command":"input_text","vindex":"六","text":"真的是喝多了","mode":0}
查看第一个 {"command":"click","vindex":"一","mode":0}
第四十三个点击 {"command":"click","vindex":"四十三","mode":0}
给我向第九个尾部输入那就说我晚上还是梦游 {"command":"input_text","vindex":"九","text":"那就说我晚上还是梦游","mode":0}
帮我向第五十八个尾部添加小关那天见到了 {"command":"input_text","vindex":"五十八","text":"小关那天见到了","mode":0}
给我第十三个往上 {"command":"swipe","vindex":"十三","direction":"上"}
帮我第五十个下滑 {"command":"swipe","vindex":"五十","direction":"下"}
给我添加你以后不许再让戴曦陪你的客户打游戏到第四十九个 {"command":"input_text","vindex":"四十九","text":"你以后不许再让戴曦陪你的客户打游戏","mode":0}
请添加咱们还能有折扣到第四十五个 {"command":"input_text","vindex":"四十五","text":"咱们还能有折扣","mode":0}
向上移动第三十八个 {"command":"swipe","vindex":"三十八","direction":"上"}
帮我打开第五十六个 {"command":"click","vindex":"五十六","mode":0}
帮我向第三十五个中输入所有人看到我跟看到瘟神似的都躲着我 {"command":"input_text","vindex":"三十五","text":"所有人看到我跟看到瘟神似的都躲着我","mode":0}
给我添加我考试考不考你就只会回来揍我一顿到第十八个 {"command":"input_text","vindex":"十八","text":"我考试考不考你就只会回来揍我一顿","mode":0}
请添加我们俩也就不会离婚了到第五十一个 {"command":"input_text","vindex":"五十一","text":"我们俩也就不会离婚了","mode":0}
向第四十五个尾部添加房子越贵买的人就越多 {"command":"input_text","vindex":"四十五","text":"房子越贵买的人就越多","mode":0}
请向第十六个尾部输入干多了我又嫌烦 {"command":"input_text","vindex":"十六","text":"干多了我又嫌烦","mode":0}
请添加把他给吓到了到第二十九个 {"command":"input_text","vindex":"二十九","text":"把他给吓到了","mode":0}
添加尊重制度到第五十七个 {"command":"input_text","vindex":"五十七","text":"尊重制度","mode":0}
帮我看下第十七个 {"command":"click","vindex":"十七","mode":0}
帮我向右移动第八个 {"command":"swipe","vindex":"八","direction":"右"}
第二十六个点击 {"command":"click","vindex":"二十六","mode":0}
添加给我看看到第五十个 {"command":"input_text","vindex":"五十","text":"给我看看","mode":0}
给我向第四十九个尾部添加还有别的解释吗 {"command":"input_text","vindex":"四十九","text":"还有别的解释吗","mode":0}
第三十四个往上 {"command":"swipe","vindex":"三十四","direction":"上"}
向第四十六个尾部添加那还能去哪儿 {"command":"input_text","vindex":"四十六","text":"那还能去哪儿","mode":0}
请查看第五十一个 {"command":"click","vindex":"五十一","mode":0}
添加妈妈跟你讲这个生意谈成了到第十一个 {"command":"input_text","vindex":"十一","text":"妈妈跟你讲这个生意谈成了","mode":0}
点击第五十九个 {"command":"click","vindex":"五十九","mode":0}
请输入你这么一说到第六十个 {"command":"input_text","vindex":"六十","text":"你这么一说","mode":0}
把第二十七个向左滑 {"command":"swipe","vindex":"二十七","direction":"左"}
帮我输入你是不是把我的堵车背景音给换了到第五十六个 {"command":"input_text","vindex":"五十六","text":"你是不是把我的堵车背景音给换了","mode":0}
向第二个尾部添加帮我把一下我把不出来 {"command":"input_text","vindex":"二","text":"帮我把一下我把不出来","mode":0}
给我向第二十一个中输入你这什么意思 {"command":"input_text","vindex":"二十一","text":"你这什么意思","mode":0}
点击第五十九个 {"command":"click","vindex":"五十九","mode":0}
帮我进入第二十六个 {"command":"click","vindex":"二十六","mode":0}
帮我向第十三个尾部输入他为什么要喝醉 {"command":"input_text","vindex":"十三","text":"他为什么要喝醉","mode":0}
向第四十一个尾部输入是谁在电话里跟我讲 {"command":"input_text","vindex":"四十一","text":"是谁在电话里跟我讲","mode":0}
第五十二个往上 {"command":"swipe","vindex":"五十二","direction":"上"}
第四个往下 {"command":"swipe","vindex":"四","direction":"下"}
第三十六个下滑 {"command":"swipe","vindex":"三十六","direction":"下"}
给我进入第二十五个 {"command":"click","vindex":"二十五","mode":0}
查看第十三个 {"command":"click","vindex":"十三","mode":0}
帮我添加你喜欢田璐把到第四十一个 {"command":"input_text","vindex":"四十一","text":"你喜欢田璐把","mode":0}
添加不要苛求自己到第五十五个 {"command":"input_text","vindex":"五十五","text":"不要苛求自己","mode":0}
向第四十一个尾部输入那叫绑票 {"command":"input_text","vindex":"四十一","text":"那叫绑票","mode":0}
第五十八个往右 {"command":"swipe","vindex":"五十八","direction":"右"}
查看第十一个 {"command":"click","vindex":"十一","mode":0}
给我添加其实我的基因根本拼不过你到第十二个 {"command":"input_text","vindex":"十二","text":"其实我的基因根本拼不过你","mode":0}
帮我第九个往下 {"command":"swipe","vindex":"九","direction":"下"}
向第三十七个中输入咱俩赶紧把孩子的事解决 {"command":"input_text","vindex":"三十七","text":"咱俩赶紧把孩子的事解决","mode":0}
帮我看下第七个 {"command":"click","vindex":"七","mode":0}
向第十五个中输入你想想看 {"command":"input_text","vindex":"十五","text":"你想想看","mode":0}
帮我按一下第四十三个 {"command":"click","vindex":"四十三","mode":0}
给我查看第三十六个 {"command":"click","vindex":"三十六","mode":0}
第十七个往左 {"command":"swipe","vindex":"十七","direction":"左"}
帮我查看第五十二个 {"command":"click","vindex":"五十二","mode":0}
第六十个点击 {"command":"click","vindex":"六十","mode":0}
请第十个往左 {"command":"swipe","vindex":"十","direction":"左"}
帮我看下第五十八个 {"command":"click","vindex":"五十八","mode":0}
添加为什么到第三十四个 {"command":"input_text","vindex":"三十四","text":"为什么","mode":0}
帮我向下移动第五个 {"command":"swipe","vindex":"五","direction":"下"}
点击第五十一个 {"command":"click","vindex":"五十一","mode":0}
看下第五十二个 {"command":"click","vindex":"五十二","mode":0}
给我查看第二十四个 {"command":"click","vindex":"二十四","mode":0}
进入第五十四个 {"command":"click","vindex":"五十四","mode":0}
向第三十个尾部添加行了 {"command":"input_text","vindex":"三十","text":"行了","mode":0}
给我向第十七个尾部输入我告诉你我还不知道你回回在人家姑娘身上做 {"command":"input_text","vindex":"十七","text":"我告诉你我还不知道你回回在人家姑娘身上做","mode":0}
请进入第三十一个 {"command":"click","vindex":"三十一","mode":0}
给我第三十八个往左 {"command":"swipe","vindex":"三十八","direction":"左"}
把第四十七个向右滑 {"command":"swipe","vindex":"四十七","direction":"右"}
查看第十五个 {"command":"click","vindex":"十五","mode":0}
请第四十五个往右 {"command":"swipe","vindex":"四十五","direction":"右"}
输入是吗到第五十二个 {"command":"input_text","vindex":"五十二","text":"是吗","mode":0}
按一下第四十九个 {"command":"click","vindex":"四十九","mode":0}
向第十七个尾部添加你现在总不能让我把好好的事业丢到一边 {"command":"input_text","vindex":"十七","text":"你现在总不能让我把好好的事业丢到一边","mode":0}
请输入你要端正你的学习态度到第四十三个 {"command":"input_text","vindex":"四十三","text":"你要端正你的学习态度","mode":0}
第三十八个右滑 {"command":"swipe","vindex":"三十八","direction":"右"}
给我查看第五十个 {"command":"click","vindex":"五十","mode":0}
给我下滑第五十一个 {"command":"swipe","vindex":"五十一","direction":"下"}
帮我向下移动第三十七个 {"command":"swipe","vindex":"三十七","direction":"下"}
第三十一个往右 {"command":"swipe","vindex":"三十一","direction":"右"}
输入皮带钱夹次拿不出手到第十八个 {"command":"input_text","vindex":"十八","text":"皮带钱夹次拿不出手","mode":0}
添加赵总到第三十三个 {"command":"input_text","vindex":"三十三","text":"赵总","mode":0}
请打开第三十一个 {"command":"click","vindex":"三十一","mode":0}
添加让他早日加入到我们创业队伍到第十个 {"command":"input_text","vindex":"十","text":"让他早日加入到我们创业队伍","mode":0}
第十七个往上 {"command":"swipe","vindex":"十七","direction":"上"}
请添加可是我看得出来到第二十三个 {"command":"input_text","vindex":"二十三","text":"可是我看得出来","mode":0}
第三十七个点击 {"command":"click","vindex":"三十七","mode":0}
右滑第五十个 {"command":"swipe","vindex":"五十","direction":"右"}
查看第三十七个 {"command":"click","vindex":"三十七","mode":0}
下滑第十七个 {"command":"swipe","vindex":"十七","direction":"下"}
添加瞧你这大气到第二十三个 {"command":"input_text","vindex":"二十三","text":"瞧你这大气","mode":0}
查看第二十六个 {"command":"click","vindex":"二十六","mode":0}
向左移动第三十个 {"command":"swipe","vindex":"三十","direction":"左"}
帮我向右滑动第十个 {"command":"swipe","vindex":"十","direction":"右"}
添加不是你讲不讲义气到第二十六个 {"command":"input_text","vindex":"二十六","text":"不是你讲不讲义气","mode":0}
输入先罚自己饿三顿到第二十三个 {"command":"input_text","vindex":"二十三","text":"先罚自己饿三顿","mode":0}
帮我第四十四个右滑 {"command":"swipe","vindex":"四十四","direction":"右"}
帮我看下第四十八个 {"command":"click","vindex":"四十八","mode":0}
给我向第五十四个中输入咱现在就辍学 {"command":"input_text","vindex":"五十四","text":"咱现在就辍学","mode":0}
向第二十个尾部输入你这是倒打一耙 {"command":"input_text","vindex":"二十","text":"你这是倒打一耙","mode":0}
向上移动第十个 {"command":"swipe","vindex":"十","direction":"上"}
给我向第五十七个中输入好 {"command":"input_text","vindex":"五十七","text":"好","mode":0}
点击第四十九个 {"command":"click","vindex":"四十九","mode":0}
请把第四十九个向下滑 {"command":"swipe","vindex":"四十九","direction":"下"}
看下第十八个 {"command":"click","vindex":"十八","mode":0}
给我查看第十九个 {"command":"click","vindex":"十九","mode":0}
帮我添加把我忙坏了到第十五个 {"command":"input_text","vindex":"十五","text":"把我忙坏了","mode":0}
请添加那有什么不能得到第十三个 {"command":"input_text","vindex":"十三","text":"那有什么不能得","mode":0}
帮我查看第五十五个 {"command":"click","vindex":"五十五","mode":0}
给我添加让他们帮帮忙到第四十七个 {"command":"input_text","vindex":"四十七","text":"让他们帮帮忙","mode":0}
给我右滑第四十三个 {"command":"swipe","vindex":"四十三","direction":"右"}
按一下第十一个 {"command":"click","vindex":"十一","mode":0}
请添加我给他打电话到第八个 {"command":"input_text","vindex":"八","text":"我给他打电话","mode":0}
把第六十个向上滑 {"command":"swipe","vindex":"六十","direction":"上"}
帮我按一下第六十个 {"command":"click","vindex":"六十","mode":0}
看下第二十八个 {"command":"click","vindex":"二十八","mode":0}
给我向下滑动第四十八个 {"command":"swipe","vindex":"四十八","direction":"下"}
给我输入要不我把它暂时寄养在你那儿到第五十七个 {"command":"input_text","vindex":"五十七","text":"要不我把它暂时寄养在你那儿","mode":0}
请第四十二个点击 {"command":"click","vindex":"四十二","mode":0}
请添加你怎么什么事情一猜就猜到了到第三十六个 {"command":"input_text","vindex":"三十六","text":"你怎么什么事情一猜就猜到了","mode":0}
给我添加当初您也看见了到第十三个 {"command":"input_text","vindex":"十三","text":"当初您也看见了","mode":0}
给我把第二十九个向左滑 {"command":"swipe","vindex":"二十九","direction":"左"}
帮我第一个点击 {"command":"click","vindex":"一","mode":0}
打开第四十二个 {"command":"click","vindex":"四十二","mode":0}
请查看第十六个 {"command":"click","vindex":"十六","mode":0}
添加栗娜请假了到第二十一个 {"command":"input_text","vindex":"二十一","text":"栗娜请假了","mode":0}
向下移动第十九个 {"command":"swipe","vindex":"十九","direction":"下"}
请向第五十个尾部添加这行了吧 {"command":"input_text","vindex":"五十","text":"这行了吧","mode":0}
向第三十个中输入有事他就怕我出意外 {"command":"input_text","vindex":"三十","text":"有事他就怕我出意外","mode":0}
打开第三十三个 {"command":"click","vindex":"三十三","mode":0}
请向第四十九个中输入这么晚了还不睡 {"command":"input_text","vindex":"四十九","text":"这么晚了还不睡","mode":0}
向第二十九个尾部添加你请我吃饭吧 {"command":"input_text","vindex":"二十九","text":"你请我吃饭吧","mode":0}
查看第四十八个 {"command":"click","vindex":"四十八","mode":0}
点击第二十一个 {"command":"click","vindex":"二十一","mode":0}
给我点击第四十七个 {"command":"click","vindex":"四十七","mode":0}
向第二十五个中输入你喜欢五月天我也喜欢 {"command":"input_text","vindex":"二十五","text":"你喜欢五月天我也喜欢","mode":0}
帮我向第二十五个尾部输入但是我还以为咱今儿能吃辣的 {"command":"input_text","vindex":"二十五","text":"但是我还以为咱今儿能吃辣的","mode":0}
向第十二个尾部添加实话实说 {"command":"input_text","vindex":"十二","text":"实话实说","mode":0}
向第四十五个中输入我黄俐问心无愧 {"command":"input_text","vindex":"四十五","text":"我黄俐问心无愧","mode":0}
第十九个往下 {"command":"swipe","vindex":"十九","direction":"下"}
向第四十个中输入你想他好起来的时候对栗娜母女可好了 {"command":"input_text","vindex":"四十","text":"你想他好起来的时候对栗娜母女可好了","mode":0}
向第五十五个中输入这个包是王帅哥送你的 {"command":"input_text","vindex":"五十五","text":"这个包是王帅哥送你的","mode":0}
给我向第四十六个尾部输入看看有什么办法能解决 {"command":"input_text","vindex":"四十六","text":"看看有什么办法能解决","mode":0}
向第三个尾部输入我呢勾引美女总裁说是要叛逃入赘 {"command":"input_text","vindex":"三","text":"我呢勾引美女总裁说是要叛逃入赘","mode":0}
把第十七个向上滑 {"command":"swipe","vindex":"十七","direction":"上"}
查看第七个 {"command":"click","vindex":"七","mode":0}
请向第六十个中输入你自己心里不清楚啊 {"command":"input_text","vindex":"六十","text":"你自己心里不清楚啊","mode":0}
给我向第十六个尾部添加损失的名誉怎么办 {"command":"input_text","vindex":"十六","text":"损失的名誉怎么办","mode":0}
帮我按一下第四十六个 {"command":"click","vindex":"四十六","mode":0}
点击第三十五个 {"command":"click","vindex":"三十五","mode":0}
帮我向第二十八个中输入拿你打比方吧 {"command":"input_text","vindex":"二十八","text":"拿你打比方吧","mode":0}
左滑第五十四个 {"command":"swipe","vindex":"五十四","direction":"左"}
请查看第五十二个 {"command":"click","vindex":"五十二","mode":0}
给我输入他俩真的是让我太失望了到第四十一个 {"command":"input_text","vindex":"四十一","text":"他俩真的是让我太失望了","mode":0}
向第二十一个尾部输入万一是你的呢 {"command":"input_text","vindex":"二十一","text":"万一是你的呢","mode":0}
帮我第三十二个点击 {"command":"click","vindex":"三十二","mode":0}
看下第四十九个 {"command":"click","vindex":"四十九","mode":0}
向第一个尾部添加你就中途退场了 {"command":"input_text","vindex":"一","text":"你就中途退场了","mode":0}
向第四十七个尾部输入我们才能快点收工吃一口 {"command":"input_text","vindex":"四十七","text":"我们才能快点收工吃一口","mode":0}
给我向右移动第四十个 {"command":"swipe","vindex":"四十","direction":"右"}
帮我打开第十九个 {"command":"click","vindex":"十九","mode":0}
帮我向第五十六个尾部添加昨天我也给你道歉了 {"command":"input_text","vindex":"五十六","text":"昨天我也给你道歉了","mode":0}
把第三十八个向右滑 {"command":"swipe","vindex":"三十八","direction":"右"}
进入第五十个 {"command":"click","vindex":"五十","mode":0}
帮我向右移动第五个 {"command":"swipe","vindex":"五","direction":"右"}
